pdf,page,text,bbox,font_size,bold,label
file01.pdf,0,Application form for grant of LTC advance,"[199, 106, 437, 119]",11.670000076293945,True,title
file01.pdf,0,1,"[70, 135, 82, 147]",9.744400024414062,True,body
file01.pdf,0,Name of the Government Servant,"[95, 132, 243, 144]",9.744400024414062,False,body
file01.pdf,0,2,"[70, 154, 82, 165]",9.744400024414062,True,body
file01.pdf,0,Designation,"[95, 151, 149, 162]",9.744400024414062,False,body
file01.pdf,0,3,"[70, 180, 82, 192]",9.744400024414062,True,body
file01.pdf,0,Date of entering the Central Government,"[95, 169, 296, 180]",9.744400024414062,False,body
file01.pdf,0,Service,"[95, 186, 129, 198]",9.744400024414062,False,body
file01.pdf,0,4,"[70, 207, 82, 219]",9.744400024414062,True,body
file01.pdf,0,PAY + SI + NPA,"[95, 204, 168, 216]",9.744400024414062,False,body
file01.pdf,0,5,"[70, 225, 82, 237]",9.744400024414062,True,body
file01.pdf,0,Whether permanent or temporary,"[95, 222, 244, 234]",9.744400024414062,False,body
file01.pdf,0,6,"[70, 241, 82, 252]",9.744400024414062,True,body
file01.pdf,0,Home Town as recorded in the Service Book,"[95, 241, 289, 252]",9.744400024414062,False,body
file01.pdf,0,7,"[70, 265, 82, 276]",9.744400024414062,True,body
file01.pdf,0,Whether wife / husband is employed and if,"[95, 253, 295, 265]",9.744400024414062,False,body
file01.pdf,0,so whether entitled to LTC,"[95, 270, 212, 282]",9.744400024414062,False,body
file01.pdf,0,8,"[70, 309, 82, 321]",9.744400024414062,True,body
file01.pdf,0,Whether the concession is to be availed for,"[95, 288, 295, 300]",9.744400024414062,False,body
file01.pdf,0,visiting home town and if so block for which,"[95, 306, 296, 318]",9.744400024414062,False,body
file01.pdf,0,LTC is to be availed,"[95, 324, 186, 335]",9.744400024414062,False,body
file01.pdf,0,9,"[70, 362, 82, 374]",9.744400024414062,True,body
file01.pdf,0,(a) If the concession is to visit anywhere in,"[95, 342, 296, 354]",9.744400024414062,False,body
file01.pdf,0,"India, the place to be visited","[95, 359, 224, 371]",9.744400024414062,False,body
file01.pdf,0,(b) Block for which to be availed,"[95, 377, 241, 389]",9.744400024414062,False,body
file01.pdf,0,10,"[70, 416, 88, 427]",9.744400024414062,True,body
file01.pdf,0,Single,"[95, 395, 124, 407]",9.744400024414062,False,body
file01.pdf,0,rail,"[136, 395, 152, 407]",9.744400024414062,False,body
file01.pdf,0,fare/bus,"[163, 395, 202, 407]",9.744400024414062,False,body
file01.pdf,0,fare,"[213, 395, 233, 407]",9.744400024414062,False,body
file01.pdf,0,from,"[244, 395, 267, 407]",9.744400024414062,False,body
file01.pdf,0,the,"[279, 395, 296, 407]",9.744400024414062,False,body
file01.pdf,0,headquarters to home town/place of visit by,"[95, 413, 296, 424]",9.744400024414062,False,body
